type,type_title,type_flags,type_pro_training,name,distance,city,country,phone,state,street,zip,country_flag,email,logo_url,more_url,longitude,latitude,web_url,images
DC,,dc,0,Hippocampe,0,PORTO-VECCHIO,FR,04 95 70 56 54 ,CORSICA,Club La Chiappa,20137,,dive@hippocampe.de,,,9.361161,41.591459,http://www.hippocampe.de/,[]
DC,,dc,0,Corsicaqua Plongée,0,Luri,FR,06 32 96 60 57 ,CORSICA,Marina de Luri,0,,corsicaquaplongee@hotmail.fr,,,9.406553,42.897197,http://www.plongee-capcorse.fr/,[]
DC,,dc,0,Eragnole,0,AJACCIO,FR,04 95 21 53 55 ,CORSICA,"12, cours Lucien Bonaparte, Plage TROTTEL",20000,,info@eragnole.com,,,8.723662,41.912479,http://www.eragnole.com,[]
DC,,dc,0,L'Hippocampe DC,0,Calvi,FR,06 11 56 70 48 ,CORSICA,PORT DE PLAISANCE,20260,,hippocampe.calvi@gmail.com,,,8.757222,42.567651,http://www.plongee-calvi-corse.com,[]
DC,,dc,0,EURL PORTO VECCHIO PLONGEE,0,PORTO VECCHIO,FR,06 71 86 82 67 ,CORSICA,Rue Mansuetus Alessandri,20137,,contact@portovecchioplongee.fr,,,9.281368,41.588556,http://www.portovecchioplongee.fr,[]
DC,,dc,0,Stade Nautique La Teste de Buch,0,La teste-de-Buch,FR,05 57 15 03 58 ,Gironde,"390, rue Gilbert MOGA",33529,,p.mevel@planete-equalia.fr,,,-1.1208,44.620754,http://www.plongee-lateste.fr,[]
DC,,dc,0,Lagune Plongée,0,Saint Cyprien,FR,06 13 78 86 11 ,Pyrénées Orientales,Quai Arthur Rimbaud,66750,,infolaguneplongee@gmail.com,,,3.037265,42.619688,http://www.laguneplongee.com/,[]
DC,,dc,0,Saint Mandrier Plongée,0,Saint-Mandrier-sur-Mer,FR,04 94 63 66 07 ,Var,IMMEUBLE NAVIPARK QUAI SEVERINE,83430,,info@saint-mandrier-plongee.com,,,5.920607,43.081754,http://www.saint-mandrier-plongee.com/,[]
DC,,dc,0,Alpha Belouga,0,Fréjus,FR,06 15 21 05 00 ,Var,Quai Cléopâtre,83600,,ludo.alphabeluga@gmail.com,,,6.747166,43.423166,http://www.alphabeluga.com/,[]
DC,,dc,0,Mediterraneo,0,Principauté de Monaco,MC,06.46.16.68.06 ,,"Bateau GIRAVARU, Port Hercule",0,,divewithtony@hotmail.fr,,,7.420816,43.737411,,[]
DC,,mares_lab scubadiving,0,Duikcentrum The Wave,0,Hillegom,NL,0252 518780 ,Zuid-Holland,Marconistraat 9b,0,,info@thewave.nl,,,4.585549,52.289169,http://www.thewave.nl,[]
DC,,,0,ABYSS PLONGEE,0,NOUMEA,NC,687791509,,Marina Port sud,98800,,lionel@abyssnc.com,,,166.441124,-22.284962,http://www.abyssnc.com,[]
DC,,dc,0,ATIMOO,0,TOLIARY,MG,06 89 51 97 06 ,,BP214,601,,club@atimoo.com,,,43.671132,-23.363028,https://www.atimoo.com/,[]
DC,,dc,0,PPK BEST SAS,0,BOUILLANTE,GP,00 590 (0) 690 48 82 01 ,,PLAGE DE MALENDURE,97125,,stanppkplongee@gmail.com,,,-61.77579,16.17206,http://www.ppk-plongee-guadeloupe.com/,[]
DC,,scubadiving,0,SeaWatch Buvararuhaz,0,Budapest,HU,36704553843,,Vas Gereben u. 4. (Buvararuhaz),1194,,info@seawatch.hu,,,19.153589,47.450128,http://www.gearfordive.com,[]
DC,,,0,GMI Scuba Wholesale,0,Hagatna Guam,GU,671 687-2356 ,,373 N Marine Corp Drive,96932,,gmi@guamcell.net,,,144.737169,13.477755,,[]
DC,,scubadiving,0,LAVY SUB,0,Las Palmas,ES,0034 928 232530 ,Gran Canaria,"C/ Joaquin Blanco Torrent, S/N. Frente Pantalán L-10",35005,,lavysub@lavysub.com,,,-15.428774,28.123632,http://www.lavysub.com,[]
DC,,mares_lab scubadiving,0,SARL HIPPOCAMPE,0,CALVI,FR,04 95 60 57 74 ,CORSICA,PORT DE PLAISANCE,20260,,christophe.prenom@livre.fr,,,8.757222,42.567651,,[]
DC,,mares_lab scubadiving,0,ODYSSEE PLONGEE,0,AJACCIO,FR,06 62 07 53 51 ,CORSICA,RUE MARTIN BORGOMANO,20090,,alain.lachuries@wanadoo.fr,,,8.757697,41.939807,,[]
DC,,mares_lab scubadiving,0,RAMASSAMY STEPHANE,0,VILLE DE PIETRABUGNO,FR,06 32 96 60 57 ,CORSICA,BAT C RESIDENCE AMARYLLIS,20200,,corsicaquaplongee@hotmail.fr,,,9.012893,42.039604,,[]
DC,,mares_lab scubadiving,0,SCUBA WIND,0,CLAIX,FR,04 76 98 06 12 ,,"20, RUE DE L'EUROPE",38640,,gilles@scubawind.com,,,5.689349,45.122207,,[]
DC,,mares_lab scubadiving horizon,0,ARGONAUTE SUBCHANDLERS,0,RAMONVILLE SAINT AGNE,FR,05 61 73 86 07 ,,14 RUE HERMES - PARC TECHNO DU CANAL,31520,,info@argonaute.eu,,,1.485904,43.549966,https://www.subchandlers.com,[]
DC,,mares_lab scubadiving,0,TECHNI PLONGEE,0,LYON,FR,+33 4 78 58 66 11 ,,111 AVENUE JEAN JAURES,69007,,infos@techniplongee.fr,,,4.840582,45.743043,https://www.techniplongee.fr/,[]
DC,,mares_lab scubadiving,0,SARL EVASION SPORT,0,MARSEILLE,FR,04 91 72 54 12 ,,"PORT DE LA POINTE ROUGE, ENTREE 2",13008,,info@atelierdelamer.com,,,5.362751,43.243352,,[]
DC,,mares_lab scubadiving,0,SARL CHASSE ET PLONGEE,0,SETE,FR,04 67 43 26 52 ,,1115 QUAI DES MOULINS,34200,,chasseplongee@orange.fr,,,3.71369,43.413569,,[]
DC,,mares_lab scubadiving,0,M L J,0,MONTELIMAR,FR,09 83 91 44 08 ,,7 RUE JEAN JACQUES ROUX,26200,,contact_scubaquanews@scubaqua.fr,,,4.766972,44.539715,,[]
DC,,mares_lab scubadiving horizon,0,SARL PLONGEQUILIBRE,0,PARIS,FR,01 42 94 98 41 ,,84 RUE DU ROCHER,75008,,magasin@plongequilibre.com,,,2.317815,48.880257,,[]
DC,,mares_lab scubadiving,0,SARL LORRAINE NAUTISME,0,METZ,FR,03 87 32 21 22 ,,2 RUE DES ALLIES,57050,,sylvie@lorraine-nautisme.fr,,,6.167212,49.130186,,[]
DC,,mares_lab scubadiving,0,SAS FADIS DIVING - WISSOUS,0,WISSOUS,FR,01 60 13 39 92 ,,"8, RUE GUILLAUME BIGOURDAN",91320,,wissous@fadis-diving.fr,,,2.329608,48.729521,,[]
DC,,mares_lab scubadiving,0,SAS FADIS - DIVING PARIS,0,PARIS,FR,01 45 74 77 67 ,,2 RUE BRUNEL,75017,,paris@fadis-diving.fr,,,2.289144,48.875985,,[]
DC,,mares_lab scubadiving,0,SARL AQUADIF,0,OSTWALD VIGIE,FR,03 88 55 50 55 ,,15 RUE PIERRE ET MARIE CURIE,67540,,isabelle@aquadif.fr,,,7.699054,48.536173,,[]
DC,,mares_lab scubadiving,0,EURL ACT PLONGEE,0,BOULOGNE SUR SEINE,FR,06-99-48-43-28 ,,"FACE AU 36, QUAI ALPHONSE LE GALLO",92100,,act.plongee@gmail.com,,,2.225774,48.835035,,[]
DC,,mares_lab scubadiving,0,EURL VILLETARD,0,ROUEN,FR,02 35 88 00 00 ,,ILE LACROIX,76000,,plongee@villetard.fr,,,1.094123,49.448962,,[]
DC,,mares_lab scubadiving,0,SARL DOLPHIN-SHOP,0,FERNEY-VOLTAIRE,FR,04 50 40 95 08 ,,CHEMIN DE COLOVREX,1210,,michel@dolphinshop.com,,,6.120793,46.251716,,[]
DC,,mares_lab scubadiving,0,SARL MEGA,0,LE  HAVRE,FR,06 06 70 10 30 ,,168 RUE STENDHAL,76620,,vincent.le_batteux@orange.fr,,,0.081589,49.51969,,[]
DC,,mares_lab scubadiving,0,SAS GO & SEA SAS,0,CHENE-EN-SEMINE,FR,06 22 86 50 49 ,,1 RUE DU VUACHE,74270,,contact@goandsea.com,,,5.871042,46.061712,,[]
DC,,mares_lab scubadiving,0,SUB-OUEST SARL,0,GRADIGNAN,FR,05 56 45 42 09 ,,7 AVE ROBERT SCHUMAN,33170,,sub-ouest@orange.fr,,,-0.645306,44.773331,,[]
DC,,mares_lab scubadiving,0,REN SPORTS,0,RENNES,FR,02 99 30 13 00 ,,102 RUE EUGENE POTTIER,35000,,info@rensports.fr,,,-1.70812,48.104238,,[]
DC,,mares_lab scubadiving,0,EURL LA PLONGEE,0,SAINT BENOIT,FR,05 49 45 06 26 ,,123 ROUTE DE POITIERS,86280,,loisir@plonge.com,,,0.343047,46.561534,,[]
DC,,mares_lab scubadiving,0,S B PLONGEE,0,TREGUEUX,FR,02 96 61 11 47 ,,17 RUE MARC SEGUIN,22950,,contact@sbplongee.com,,,-2.72137,48.488524,,[]
DC,,mares_lab scubadiving,0,SARL SPOT PLONGEE,0,CAPBRETON,FR,06 98 63 47 02 ,,6 RUE DE POURGUEDEUIL,40130,,info@spotplongee.fr,,,-1.407604,43.649473,,[]
DC,,mares_lab scubadiving,0,SARL COMARIN,0,SAINT MALO,FR,02 99 21 38 38 ,,PORT DES BAS SABLONS,35400,,info@comarin.fr,,,-2.027095,48.637926,,[]
DC,,mares_lab scubadiving,0,SASU GROLLEAU,0,CONCARNEAU,FR,02 98 97 49 54 ,,"5, RUE DE QUIMPER",29900,,eurl.grolleau@akeonet.com,,,-3.9198,47.887196,,[]
DC,,mares_lab scubadiving,0,V.S.M ECOLE DE PLONGEE,0,ARCACHON,FR,05 56 83 98 95 ,,"14, QUAI DU CAPITAINE ALLEGRE",33120,,vsmplongee@wanadoo.fr,,,-1.144181,44.656625,,[]
DC,,mares_lab scubadiving,0,PLANETE PLONGEE DC,0,JOUE LES TOURS,FR,06 85 45 38 73 ,,101 ROUTE DE LA VIEILLE CARTE,37300,,alain.dive@planete-plongee.fr,,,0.634712,47.331384,,[]
DC,,mares_lab scubadiving freediving snorkeling,0,ScubaXP,0,Sint-Pauwels,BE,0493/07.39.47 ,Antwerpen,Potterstraat 167,9170,,info@scubaxp.be,,,4.109076,51.182306,http://www.scubaxp.be,[]
DC,,scubadiving,0,AQUABALTIC,0,TALLINN,EE,3726411010,,Veerenni 17,10135,,info@aquabaltic.ee,,,24.749452,59.424974,http://www.aquabaltic.com,[]
DC,,,0,Blue Aura Diving center,0,Santa Flavia,IT,3387167280,PA,ss 113 civico n. 85,90017,,mail@blueauradivingclub.it,,,13.525332,38.081719,http://www.blueaura.it/,[]
DC,,mares_lab,0,Dragor Lux,0,Zagreb,HR,+385 01 561 6961 ,,Poljička 49,10000,,info@dragorlux.hr,,,15.965019,45.795705,http://www.dragorlux.hr/,[]
DC,,mares_lab scubadiving,0,ABYSSEA,0,Civaux,FR,05 49 48 09 09 ,,Route du Fond d'Orveau,86320,,abyssea@vert-marine.com,,,0.664213,46.449679,http://www.vert-marine.com/abyssea-civaux-86/#,[]
DC,,mares_lab,0,Nauga,0,A Coruña,ES,+34 981 129 811 ,,Avda. Alcalde Francisco Vazquez nº6,15001,,tienda@nauga.es,,,-8.395124,43.371286,,[]
DC,,mares_lab dc,0,SIETEMARES,0,Palma,ES,+34 971910281 ,Mallorca,"c/ Tomás Luis de Victoria, 1",7004,,buceo@sietemares.com,,,2.663938,39.586839,http://www.sietemares.com,[]
DC,,dc,0,DIVEMANIA,0,ARGELES SUR MER,FR,04 68958949 ,Pyrénées Orientales,2 PLACE MAGELLAN,66700,,info@divemania.fr,,,3.022911,42.546214,,[]
DC,,dc scubadiving,0,SUBFARI PORTINATX,0,Portinatx,ES,0034 677 466040 ,,Cala Portinatx 113,7810,,info@subfari.es,,,1.526884,39.093345,http://www.subfari.es,[]
DC,,dc,0,Solo Buceo,0,Cancun,MX,+52 9988833979 ,,"Hotelera Cancun, Hotel Hyatt Ziva",0,,friscione@gmail.com,,,-86.851528,21.161908,http://www.solobuceo.com,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Mavros Retailing,0,Strovolos,CY,+357 22680898 ,Nicosia,Athinon 48,2040,,sports@mavros.com.cy,,,33.349624,35.136017,,[]
DC,,,0,Mavros Ltd.,0,Strovolos,CY,+357 22680898 ,Nicosia,Athinon 48,2040,,sports@mavros.com.cy,,,33.349624,35.136017,,[]
DC,,scubadiving,0,"Skualo Esports D'Aventura, S.L.",0,Porto Cristo,ES,971815694,,"Passeig Cap Des Toll, 11 Baixos",7680,,karina@skualo.com,,,3.336818,39.544135,,[]
DC,,scubadiving,0,Gestions Diving S.L.,0,Portocolom,ES, ,,Ronda Del Creuer Balear,7670,,karina@skualo.com,,,3.258804,39.417062,,[]
DC,,scubadiving,0,Oceanides Aquaventura S.L.,0,Palma de Mallorca,ES,971 910052 ,Balearic Islands,"C/ Vicenç Joan i Rosselló, 9 Bajos",7013,,justomateos@oceanides-aquaventura.com,,,2.629107,39.579489,,[]
DC,,scubadiving,0,East Coast Divers Mallorca,0,Porto Colom,ES,693761800,,Rondo Crucero Balear,7670,,info@eastcoastdivers.de,,,3.256477,39.415782,,[]
DC,,scubadiving,0,Salgar Diving S.L.,0,Salgar - Sant Lluis,ES,971150601 / 605054607 ,Menorca,Paseo Maritimo S/N,7713,,info@salgardiving.com,,,4.257692,39.850682,,[]
DC,,scubadiving,0,Merak Yacht Charter,0,Mahon,ES,656474945,,C. Muelle Levante 325,7701,,xavi@nautidoc.com,,,4.25962,39.88733,,[]
DC,,scubadiving,0,Atemrausch,0,Pollenca,ES,622122145,,Temporal,7469,,info@atemrausch.com,,,3.057483,39.92093,,[]
DC,,,0,"Armin Korger, S.L. Robinson Club Cala Serena",0,CALA D'OR,ES,639604061,,"AVDA. DE S'HORTA, S/N",7660,,armin@tauchschule-mallorca.de,,,3.241018,39.382352,,[]
DC,,,0,Buceo Y Pan S.L.,0,Palma de Mallorca,ES,971910281,,C/Tomas Luis de Victoria,7004,,chmartinez@iurisconcept.com,,,2.66511,39.585519,,[]
DC,,scubadiving,0,Seemann Sub España S.L.,0,Palma Mallorca,ES,971730943,,"Magalianes, 8",7014,,buceo@isurussub.com,,,2.611485,39.568365,,[]
DC,,mares_lab scubadiving xr snorkeling,0,DIVE2ADVENTURE,0,Hoogersmilde,NL,06-12710136 ,,Cliffortstraat 29,0,,info@dive2adventure.nl,,,6.391366,52.906073,http://www.dive2adventure.nl,[]
DC,,mares_lab scubadiving,0,Kymo,0,Breda,NL,+31 06 18 55 53 67 ,Noord-Brabant,Veldsteen 14,0,,info@kymo.net,,,4.737715,51.598541,http://www.kymo.net,[]
DC,,mares_lab scubadiving,0,D-Diving,0,Rijen,NL,06-28149011 ,Noord-Brabant,Hoofdstraat 98,0,,info@d-diving.nl,,,4.917464,51.593127,http://www.d-diving.nl,[]
DC,,scubadiving,0,Duikcentrum Purmerend,0,Purmerend,NL,0299-475236 ,Noord-Holland,Pascalstraat 41 Industrieterrein 'De Baanstee',0,,info@duikcentrum-purmerend.nl,,,4.991365,52.51533,http://www.duikcentrum-purmerend.nl,[]
DC,,scubadiving,0,Technical Diving College,0,Hilversum,NL,06-22414617 ,Utrecht,Rozenstraat 84,0,,info@technicaldivingcollege.nl,,,5.170311,52.217826,http://www.technicaldivingcollege.nl,[]
DC,,mares_lab scubadiving,0,Maidiving,0,Poortugaal,NL,010-2954745 ,Zuid-Holland,Albrandswaardsedijk 188B,0,,info@maidiving.nl,,,4.420293,51.845911,http://www.maidiving.nl,[]
DC,,mares_lab dc,0,DIVING CENTER TRAMONTO,0,Tisno,HR,+385 98 843 233 ,,Stjepana Radića 13,22240,,divetramonto@divetramonto.com,,,15.647285,43.799775,http://www.divetramonto.com,[]
DC,,mares_lab scubadiving,0,SCUBAZAR,0,HYERES,FR,09 72 32 78 21 ,,26 RUE NICEPHORE NIEPCE,83400,,info@scubazar.fr,,,6.141238,43.103761,http://www.scubazar.fr/,[]
DC,,dc,0,Diving Center No Limit Diver,0,Sv. Filip i Jakov,HR,00385 95 903 4759 ,,Obala Kralja Tomislava 46,23207,,info@nolimitdiver.com,,,15.419348,43.963387,http://www.nolimitdiver.com/,[]
DC,,mares_lab scubadiving,0,SubLub Zuidlaren,0,Zuidlaren,NL,0031 050-8200479 ,Drenthe,Verlengde stationsweg 12,0,,zuidlaren@sublub.nl,,,6.664495,53.088503,http://www.sublub.nl,[]
DC,,mares_lab scubadiving,0,SubLub Voerendaal,0,Voerendaal,NL,0031 045-2033013 ,,Valkenburgerweg 12,0,,voerendaal@sublub.nl,,,5.931991,50.876105,,[]
DC,,scubadiving,0,Kamal Centr LLP.,0,Astana,KZ,7(7172)442511 ,,56 vp 2 Bogenbay str.,10000,,kamal-center@mail.ru,,,71.403596,51.175139,,[]
DC,,scubadiving,0,Kamaltau LLP.,0,Astana,KZ,7(717)2315958 ,,38 Zhenis ave.,10000,,Kamaltau05@mail.ru,,,71.414321,51.235286,,[]
DC,,scubadiving,0,Korgan Aktau LLP.,0,Aktau,KZ,7(729)2501770 ,,1 microdistr. 4,130001,,at-aktau@korgan.kz,,,51.174367,43.634494,,[]
DC,,scubadiving,0,Korgan Zhetisu LLP.,0,Taldykorgan,KZ,7(728)2240647 ,,153 Zhansugurova str.,40000,,korgan-zhetisu@mail.ru,,,78.380442,45.017711,,[]
DC,,scubadiving,0,SubLub Limburg,0,Voerendaal,NL,045-2033013 ,Limburg,Valkenburgerweg 12,0,,limburg@sublub.nl,,,5.931991,50.876105,http://www.sublub.nl,[]
DC,,dc,0,Big Blue Ibiza,0,Cala Vadella,ES,+34 650769296 ,Ibiza,Local Restaurante Can Jaume,7830,,bigbluedive@gmail.com,,,1.420598,38.906734,https://www.facebook.com/bigblueibiza,[]
DC,,dc,0,Medena Diving Center - Trogir,0,Seget Donji,HR,+385 98 924 3940 ,,Medena Diving Center,21218,,info@scubadiving.hr,,,16.228698,43.518966,,[]
DC,,mares_lab scubadiving,0,Buceo 4 Vientos,0,Madrid,ES,+34 915 18 93 62 ,,"C/ Cine, 43 (entrada por la C/Manuel Garcia 43)",28024,,info@buceo4vientos.es,,,-3.775316,40.395216,http://www.buceo4vientos.es,[]
DC,,dc,0,ANEMONE DIVING CENTER PALAMÓS,0,Palamós,ES,+ 34 722 507 272 / +34 972 317 627 ,,"Carrer Gregal, 28  local nº 3",17230,,centre@anemonedivingcenter.com,,,3.129816,41.850507,http://www.anemonedivingcenter.com/,[]
DC,,mares_lab,0,The Purple Octopus,0,Mumbai,IN,9820084196 / 9920763671 ,,Navi Mumbai,0,,siddharth@thepurpleoctopus.in,,,73.029663,19.033049,https://www.facebook.com/ThePurpleOctopus/,[]
DC,,scubadiving,0,SCUBA LAND MARINE EQUIPMENTS,0,ABU DHABI,AE,0097126410030 / 00971556903139 ,,AL FALAH STREET,0,,scubalandmarine@gmail.com,,,54.365257,24.475453,,[]
DC,,dc,0,Pura Vida Lanzarote Diving,0,Las Palmas,ES,+34 620 281 900 ,Lanzarote,"Avenida Islas Canarias 1 CC Punta, Limones Local 33",35570,,info@puravidalanzarotediving.com,,,-13.798443,28.956837,http://www.puravidalanzarotediving.com,[]
DC,,dc,0,MUNDO SUBMARINO,0,Laredo,ES,942 611 861 ,Cantabria,C/Dr. Federico de la Lastra 3,39770,,buceo@mundosubmarino.es,,,-3.413173,43.413815,http://www.mundosubmarino.es/,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,TRB ADVENTURE DOO,0,Bijeljina,BA,+387 55 421 006 ,,Miloša Obilića 2,76300,,info@trbadventure.com,,,19.213911,44.758974,http://www.trbadventure.com,[]
DC,,mares_lab horizon,0,Adriatic Scuba doo,0,Belgrade,RS,381606595959,,Lovačka 4,11000,,mareslab@adriaticscuba.com,,,20.41469,44.764723,http://www.adriaticsub.com,[]
DC,,mares_lab,0,Holywell Neopren,0,Belgrade,RS,+381 11 3670158 ,,Mačkov kamen 24a,11040,,mareslab@holywellneopren.com,,,20.457826,44.769969,http://www.holywellneopren.com,[]
DC,,spearfishing,0,Adreno Spearfishing Sydney,0,Alexandria,AU,02 9669 6214 ,NSW,1/678-682 Botany Rd,2015,,sydney@adreno.com.au,,,151.196448,-33.920937,http://www.spearfishing.com.au,[]
DC,,,0,Let's Go Adventures,0,Nelson Bay,AU,02 4981 4331 ,,8 Teramby Road,2315,,fun@letsgoadventures.com.au,,,152.144833,-32.719762,http://www.letsgoadventures.com.au,[]
DC,,mares_lab scubadiving,0,Adelaide Scuba,0,Glenelg North,AU,08 8294 7744 ,,3 / 8377 Patawalonga Frontage,5045,,info@adelaidescuba.com.au,,,138.51235,-34.973686,https://www.adelaidescuba.com.au/,[]
DC,,,0,The Dive Shack,0,Keswick,AU,08 8371 5822 ,,46 Richmond Road,5035,,contact@thediveshack.com.au,,,138.578308,-34.942059,http://www.thediveshack.com.au,[]
DC,,spearfishing,0,Adreno Spearfishing Melbourne,0,Cheltenham,AU,03 9584 0898 ,Victoria,1184 Nepean Highway,3192,,melbourne@adreno.com.au,,,145.054185,-37.961307,http://www.spearfishing.com.au,[]
DC,,,0,Midstate Dive,0,Tatura,AU,03 5824 3178 ,,70 Casey Street,3616,,dive@midstatedive.com.au,,,145.230011,-36.441464,https://www.midstatedive.com.au/,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Otago,0,Dunedin,NZ,03 466 4370 ,,2 Wharf Street,9049,,dave@diveotago.co.nz,,,170.505884,-45.886602,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Centre,0,Auckland,NZ,09 444 7698 ,,"97 Wairau Road, Takapuna",627,,divecenter@xtra.co.nz,,,174.743375,-36.775421,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Zone Tauranga,0,Bay of Plenty,NZ,07 578 4050 ,,"213 Cameron Road, Tauranga",3110,,nicki@diveshop.co.nz,,,176.165267,-37.686045,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Dive Wellington,0,WELLINGTON,NZ,04 9393483 ,,"432  THE ESPLANADE, ISLAND BAY",6023,,dive@divewellington.co.nz,,,174.762993,-41.347858,,[]
DC,,scubadiving,0,Dive Shack Taupo,0,TAUPO,NZ,07 3781926 ,,35A WAIKATO STREET,3330,,diveshack@xtra.co.nz,,,176.072785,-38.681818,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Performance Diver,0,Takapuna,NZ,489 7782 ,,74 Barrys Point Road,622,,sales@performancediver.co.nz,,,174.766254,-36.79572,,[]
DC,,spearfishing,0,Ocean Hunter,0,AUCKLAND,NZ,09 3770896 ,,"100 GUANT STREET, WEST HAVEN",0,,mike@oceanhunter.co.nz,,,174.756723,-36.844884,,[]
DC,,,0,Auckland Scuba,0,AUCKLAND,NZ,09 478 2814 ,,"121 ROSEDALE ROAD, UNIT 1",630,,info@divehqalbany.co.nz,,,174.720287,-36.739364,,[]
DC,,scubadiving,0,MARLBOROUGH HUNTING & FISHING LTD,0,BLENHEIM,NZ,03 579 1600 ,,46 Main Street,7210,,marlboroughhuntingandfishing@xtra.co.nz,,,173.964272,-41.513596,,[]
DC,,scubadiving,0,Island Bay Divers,0,Wellington,NZ,43836778,,353 The Parade,6023,,tim@ibdivers.co.nz,,,174.770715,-41.342784,,[]
DC,,scubadiving,0,Ballingers Hunting and Fishing,0,Christchurch,NZ,33430212,,75 Clarence Street Tower Junction,8011,,ballingers@xtra.co.nz,,,172.639,-43.530074,,[]
DC,,scubadiving,0,Reel Rods,0,Kaitaia,NZ,274861019,,5 Puckey Ave,410,,reelrods@ihug.co.nz,,,173.26332,-35.115024,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Oceans Alive New Zealand Ltd,0,New Plymouth,NZ,06 758 3348 ,,35a Ocean View Parade,4310,,kevin@oceansalive.co.nz,,,174.04613,-39.060275,,[]
DC,,,0,Bubbles Below Aitutaki,0,Aitutaki,CK,682 31537-682 ,,Onu Hewett,0,,bubblesbelow@aitutaki.net.ck,,,-159.785284,-18.857952,,[]
DC,,scubadiving,0,Nelson Hunting and Fishing,0,Nelson,NZ,03 548 1840 ,,50 Achilles Ave,7010,,nelsonhuntfish@xtra.co.nz,,,173.282561,-41.27153,,[]
DC,,scubadiving,0,North Canterbury Hunting & Fishing,0,Rangiora,NZ,03 313 1313 ,,343 B Flaxton Road,7400,,phil@nchuntingandfishing.co.nz,,,172.599688,-43.328893,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Goat Island Dive and Snorkel,0,Leigh,NZ,09 422 6925 ,,142 a Pakiri Road,947,,dive@goatislanddive.co.nz,,,174.79968,-36.289185,,[]
DC,,dc,0,Dive HQ - Whangarei,0,Whangarei,NZ,0064 9 438 1075 ,,41 Clyde Street,110,,info@divenow.co.nz,,,174.322275,-35.727717,http://www.divehq.co.nz,[]
DC,,scubadiving,0,Guns & Tackle Hunting & Fishing,0,Napier,NZ,06 835 9016 ,,200 Prebensen Drive,4110,,napier@huntfish.co.nz,,,176.882457,-39.496785,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,Get Wet Waikato,0,Te Rapa Hamilton,NZ,07 849 1922 ,,451 Te Rapa Road,0,,info@getwetwaikato.co.nz,,,175.249799,-37.762268,,[]
DC,,scubadiving,0,Kaikoura Hunting and Fishing,0,Kaikoura,NZ,03 319 6648 ,,130 Beach Road,7300,,kaikourahuntingandfishing@xtra.co.nz,,,173.679424,-42.386826,,[]
DC,,mares_lab scubadiving xr freediving spearfishing snorkeling,0,GASWORKZ LIMITED,0,Mayfair  Hastings,NZ,06 870 9106 ,,704 Warren Street Nth,4159,,info@gasworkz.co.nz,,,176.852045,-39.63903,,[]
DC,,scubadiving,0,Pleasure and Marine,0,Grasmere Invercargill,NZ,03 215 6266 ,,24 Bay Road,9810,,sales@pleasureandmarine.co.nz,,,168.345333,-46.388857,,[]
DC,,scubadiving,0,Invercargill Hunting and Fishing,0,Invercargill,NZ,03 218 3396 ,,95 Leven Street,9810,,inv_accounts@huntfish.co.nz,,,168.345895,-46.407152,,[]
DC,,scubadiving,0,Tauranga Hunting and Fishing,0,Tauranga,NZ,07 928 4303 ,,65 Chapel Street,3110,,tauranga@huntfish.co.nz,,,176.164997,-37.673821,,[]
DC,,scubadiving,0,Botany Hunting and Fishing,0,Auckland,NZ,09 271 4421 ,,5 Tekoha Road,2013,,botanyhuntfish@xtra.co.nz,,,174.910378,-36.930956,,[]
DC,,,0,Out There Surf,0,Auckland,NZ,09 372 6528 ,,21 A Belgium St,1081,,accounts@outtheresurf.co.nz,,,175.046241,-36.796271,,[]
DC,,scubadiving,0,McCoy & Tomas H & F Kaitaia,0,Kaitaia,NZ,09 408 0906 ,,147-161 Commerace Street,410,,office@huntfishkaitaia.co.nz,,,173.262582,-35.11186,,[]
DC,,scubadiving,0,Manawatu Hunting and Fishing,0,Palmerston North,NZ,06 355 3101 ,,200 John F Kennedy Drive,4414,,manawatu@huntfish.co.nz,,,175.59782,-40.337894,,[]
DC,,scubadiving,0,Rotorua Hunting and Fishing,0,Rotorua,NZ,07 349 6303 ,,1530 Amohau Street,3010,,rotourahuntingandfishing@xtra.co.nz,,,176.240971,-38.138447,,[]
DC,,scubadiving,0,Warkworth Hunting and Fishing,0,Warkworth,NZ,09 422 2308 ,,22 Baxter Street,910,,warkworth@huntfish.co.nz,,,174.667064,-36.398382,,[]
DC,,dc,0,KeriKeri Hunting and Fishing,0,KeriKeri,NZ,09 4017501 ,,25 Kerikeri Road,0,,kerikeri@huntfish.co.nz,,,173.946766,-35.229908,,[]
DC,,scubadiving,0,Allan Millar Hunting and Fishing,0,Dunedin,NZ,03 477 6665 ,,922 George Street,9016,,office@dunedinhuntfish.co.nz,,,170.512727,-45.858372,,[]
